pair,entry_date,exit_date,side,entry_price,sl,tp1,tp2,exit_reason,pnl,r_multiple,sweep_val,sweep_vah,poc,ema21,ema55,body_ratio,volume_ratio
LINK,2026-05-16 16:45:00+00:00,2026-05-17 01:00:00+00:00,long,9.741,9.6477,9.853,9.9277,sl,-0.0933,-1.0,9.7082,9.7293,9.7211,9.7057,9.7194,0.11,2.57
LINK,2026-05-17 05:00:00+00:00,2026-05-17 23:15:00+00:00,long,9.776,9.6433,9.9352,10.0413,sl,-0.1327,-1.0,9.6856,9.771,9.7558,9.6929,9.7093,0.37,4.2
LINK,2026-05-18 05:15:00+00:00,2026-05-18 11:00:00+00:00,short,9.525,9.5874,9.4501,9.4002,tp2,0.0999,1.6,9.4198,9.476,9.4516,9.4244,9.4495,0.53,2.13
LINK,2026-05-18 21:25:00+00:00,2026-05-19 07:35:00+00:00,long,9.528,9.3933,9.6897,9.7975,tp2,0.2156,1.6,9.7324,9.7803,9.7632,9.7638,9.7285,0.61,1.21
LTC,2026-05-16 17:20:00+00:00,2026-05-16 22:05:00+00:00,long,56.21,56.0171,56.4415,56.5958,sl,-0.1929,-1.0,56.1,56.18,56.135,56.1241,56.1417,0.17,2.83
LTC,2026-05-16 23:55:00+00:00,2026-05-17 01:35:00+00:00,short,56.1,56.2743,55.8908,55.7513,tp2,0.2789,1.6,55.977,56.23,56.1035,55.9852,56.0543,0.09,1.24
LTC,2026-05-17 05:35:00+00:00,2026-05-17 13:15:00+00:00,long,56.31,55.9478,56.7447,57.0344,sl,-0.3622,-1.0,56.218,56.403,56.3568,56.2539,56.2788,0.5,3.3
LTC,2026-05-17 15:20:00+00:00,2026-05-17 23:40:00+00:00,short,55.82,56.2924,55.2531,54.8752,tp2,0.7558,1.6,54.91,55.575,55.1428,55.4793,55.7511,0.43,7.24
LTC,2026-05-18 05:15:00+00:00,2026-05-18 06:20:00+00:00,short,54.11,54.4017,53.76,53.5267,tp2,0.4667,1.6,53.9095,54.3,54.1758,53.9925,54.1712,0.23,4.24
LTC,2026-05-18 16:00:00+00:00,2026-05-18 19:00:00+00:00,short,53.4,53.8202,52.8957,52.5596,sl,-0.4202,-1.0,53.524,53.766,53.667,53.6637,53.632,0.86,5.86
AVAX,2026-05-16 22:00:00+00:00,2026-05-17 01:00:00+00:00,short,9.303,9.3473,9.2498,9.2144,tp2,0.0709,1.6,9.2686,9.304,9.2937,9.2708,9.2889,0.0,2.12
AVAX,2026-05-17 05:00:00+00:00,2026-05-17 22:50:00+00:00,long,9.314,9.2196,9.4273,9.5028,sl,-0.0944,-1.0,9.2603,9.3324,9.2908,9.2682,9.2799,0.62,1.98
AVAX,2026-05-18 00:00:00+00:00,2026-05-19 00:15:00+00:00,short,9.153,9.2799,9.0007,8.8991,sl,-0.1269,-1.0,9.2358,9.2597,9.2451,9.2456,9.2165,0.81,2.65
AVAX,2026-05-19 02:20:00+00:00,2026-05-19 02:35:00+00:00,long,9.269,9.2155,9.3332,9.376,sl,-0.0535,-1.0,9.2328,9.2908,9.2589,9.2406,9.2363,0.15,1.3
NEAR,2026-05-16 17:05:00+00:00,2026-05-17 00:55:00+00:00,long,1.494,1.4853,1.5045,1.5114,sl,-0.0087,-1.0,1.495,1.5005,1.4972,1.4953,1.4951,0.5,4.28
NEAR,2026-05-17 01:55:00+00:00,2026-05-17 03:10:00+00:00,short,1.481,1.4972,1.4615,1.4485,sl,-0.0162,-1.0,1.4783,1.4875,1.4835,1.4876,1.4893,0.5,1.99
NEAR,2026-05-17 05:45:00+00:00,2026-05-17 23:35:00+00:00,long,1.523,1.5015,1.5488,1.5659,sl,0.0021,0.1,1.503,1.5322,1.5131,1.5136,1.52,1.0,1.51
NEAR,2026-05-18 05:15:00+00:00,2026-05-18 06:20:00+00:00,short,1.505,1.515,1.493,1.485,tp2,0.016,1.6,1.4975,1.5112,1.5019,1.502,1.505,0.44,3.97
NEAR,2026-05-18 09:50:00+00:00,2026-05-18 10:15:00+00:00,short,1.486,1.4928,1.4778,1.4724,sl,0.0007,0.1,1.4808,1.489,1.4841,1.4861,1.49,0.73,6.42
NEAR,2026-05-18 11:10:00+00:00,2026-05-18 19:30:00+00:00,long,1.509,1.4828,1.5405,1.5614,tp2,0.0419,1.6,1.5297,1.5531,1.5463,1.5412,1.5307,0.73,2.3
NEAR,2026-05-19 05:05:00+00:00,2026-05-19 06:40:00+00:00,short,1.608,1.6232,1.5897,1.5775,sl,-0.0152,-1.0,1.597,1.612,1.6022,1.6094,1.6086,0.29,1.09
BCH,2026-05-13 21:15:00+00:00,2026-05-14 00:15:00+00:00,short,433.19,435.2955,430.6634,428.979,sl,-2.1055,-1.0,432.919,434.5375,433.3548,434.0765,433.8137,0.07,1.57
BCH,2026-05-14 00:40:00+00:00,2026-05-14 03:05:00+00:00,long,434.95,432.6776,437.6769,439.4948,sl,-2.2724,-1.0,433.975,435.27,434.9462,434.2628,434.311,0.6,2.04
BCH,2026-05-14 06:50:00+00:00,2026-05-14 11:25:00+00:00,long,434.13,432.0227,436.6587,438.3445,sl,-2.1073,-1.0,432.788,433.607,433.1975,432.8932,433.1851,0.05,1.63
BCH,2026-05-14 13:40:00+00:00,2026-05-15 08:25:00+00:00,long,433.91,431.4237,436.8935,438.8825,sl,0.2486,0.1,433.2075,435.666,434.6602,433.8869,434.406,0.69,3.17
BCH,2026-05-15 11:05:00+00:00,2026-05-15 13:30:00+00:00,short,431.19,432.6489,429.4393,428.2722,tp2,2.3343,1.6,429.346,431.661,430.1562,430.3459,431.1292,0.48,7.09
BCH,2026-05-16 03:55:00+00:00,2026-05-16 05:20:00+00:00,long,427.39,424.537,430.8136,433.096,sl,-2.853,-1.0,426.1635,427.437,426.9418,426.0352,426.17,0.44,4.58
BCH,2026-05-16 09:15:00+00:00,2026-05-16 10:40:00+00:00,short,418.84,423.0971,413.7315,410.3258,tp2,6.8114,1.6,412.369,417.799,413.7265,415.2608,418.453,0.25,1.62
BCH,2026-05-16 14:25:00+00:00,2026-05-16 15:30:00+00:00,short,414.26,416.3002,411.8118,410.1797,sl,-2.0402,-1.0,414.232,415.2,414.892,415.0263,414.9367,0.88,4.34
ATOM,2026-05-16 23:15:00+00:00,2026-05-17 01:20:00+00:00,long,2.045,2.0281,2.0653,2.0788,sl,-0.0169,-1.0,2.039,2.0555,2.0502,2.0435,2.0402,0.82,1.33
ATOM,2026-05-17 02:55:00+00:00,2026-05-17 03:35:00+00:00,short,2.016,2.0444,1.9819,1.9591,sl,-0.0284,-1.0,2.0059,2.0304,2.0169,2.0284,2.0294,0.64,1.5
ATOM,2026-05-17 11:45:00+00:00,2026-05-17 12:10:00+00:00,long,2.088,2.0698,2.1098,2.1244,sl,-0.0182,-1.0,2.075,2.117,2.0872,2.0832,2.081,0.33,1.03
ATOM,2026-05-17 23:05:00+00:00,2026-05-17 23:40:00+00:00,short,2.044,2.0686,2.0145,1.9949,tp2,0.0491,2.0,2.039,2.0577,2.0466,2.046,2.0533,0.27,12.87
ATOM,2026-05-18 08:20:00+00:00,2026-05-18 08:35:00+00:00,long,2.062,2.0473,2.0797,2.0915,sl,-0.0147,-1.0,2.0493,2.0685,2.0571,2.0572,2.0567,0.83,0.84
